_id,_labels,Ensembl,diseaseID,drugID,gene_count,id,name,ncbiID,source,subcellular_loc,_start,_end,_type,score,source.1,type,atcClassification,class,uniprotID
20360,:Disease,,C0265306,,,C0265306,Greig cephalopolysyndactyly syndrome,,DisGeNET,,,,,,,,,,
20361,:Disease,,C0265220,,,C0265220,Pallister-Hall syndrome,,DisGeNET,,,,,,,,,,
20362,:Disease,,C2931760,,,C2931760,"Acrocallosal syndrome, Schinzel type",,DisGeNET,,,,,,,,,,
20363,:Disease,,C0162835,,,C0162835,Hypopigmentation disorder,,DisGeNET,,,,,,,,,,
20364,:Disease,,C0265553,,,C0265553,Polysyndactyly,,DisGeNET,,,,,,,,,,
20365,:Disease,,C1868111,,,C1868111,"Polydactyly, preaxial 4",,DisGeNET,,,,,,,,,,
20366,:Disease,,C0265633,,,C0265633,Congenital absence of tibia,,DisGeNET,,,,,,,,,,
20367,:Disease,,C0342418,,,C0342418,Hypothalamic hamartomas,,DisGeNET,,,,,,,,,,
20403,:Protein,ENSG00000107249,,,,ENSG00000107249,GLIS3,169792,BridgeDB,,,,,,,,,,
20404,:Disease,,C1857775,,,C1857775,"Diabetes Mellitus, Neonatal, with Congenital Hypothyroidism",,DisGeNET,,,,,,,,,,
20405,:Disease,,C0018784,,,C0018784,Sensorineural Hearing Loss (disorder),,DisGeNET,,,,,,,,,,
20406,:Disease,,C0020302,,,C0020302,Hydrophthalmos,,DisGeNET,,,,,,,,,,
20407,:Disease,,C0424503,,,C0424503,Dysmorphic facies,,DisGeNET,,,,,,,,,,
20408,:Disease,,C1567435,,,C1567435,Polycystic Kidney - body part,,DisGeNET,,,,,,,,,,
20409,:Disease,,C0017605,,,C0017605,Angle Closure Glaucoma,,DisGeNET,,,,,,,,,,
20410,:Protein,ENSG00000171433,,,,ENSG00000171433,GLOD5,392465,BridgeDB,,,,,,,,,,
20411,:Protein,ENSG00000108010,,,,ENSG00000108010,GLRX3,10539,BridgeDB,,,,,,,,,,
20417,:Protein,ENSG00000151948,,,,ENSG00000151948,GLT1D1,144423,BridgeDB,,,,,,,,,,
20418,:Protein,ENSG00000168243,,,,ENSG00000168243,GNG4,2786,BridgeDB,,,,,,,,,,
20438,:Protein,ENSG00000269332,,,,ENSG00000269332,GOLGA2P9,,BridgeDB,,,,,,,,,,
20439,:Protein,ENSG00000153684,,,,ENSG00000153684,GOLGA8F,100132565,BridgeDB,,,,,,,,,,
20443,:Protein,ENSG00000183629,,,,ENSG00000183629,GOLGA8G,283768,BridgeDB,,,,,,,,,,
20444,:Protein,ENSG00000088053,,,,ENSG00000088053,GP6,51206,BridgeDB,,,,,,,,,,
20445,:Disease,,C3280120,,,C3280120,Glycoprotein VI deficiency,,DisGeNET,,,,,,,,,,
20453,:Protein,ENSG00000169704,,,,ENSG00000169704,GP9,2815,BridgeDB,,,,,,,,,,
20454,:Disease,,C0005129,,,C0005129,Bernard-Soulier Syndrome,,DisGeNET,,,,,,,,,,
20455,:Disease,,C1319466,,,C1319466,Barber Say syndrome,,DisGeNET,,,,,,,,,,
20456,:Disease,,C1857941,,,C1857941,Brooke-Spiegler syndrome,,DisGeNET,,,,,,,,,,
20457,:Disease,,C1856448,,,C1856448,"Bernard-Soulier Syndrome, Type C",,DisGeNET,,,,,,,,,,
20458,:Disease,,C2713537,,,C2713537,Deficiency of Platelet Glycoprotein 1b,,DisGeNET,,,,,,,,,,
20467,:Protein,ENSG00000179921,,,,ENSG00000179921,GPBAR1,151306,BridgeDB,,,,,,,,,,
20474,:Protein,ENSG00000147257,,,,ENSG00000147257,GPC3,2719,BridgeDB,,,,,,,,,,
20475,:Disease,,C0796154,,,C0796154,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1",,DisGeNET,,,,,,,,,,
20476,:Disease,,C0027708,,,C0027708,Nephroblastoma,,DisGeNET,,,,,,,,,,
20477,:Disease,,C2930471,,,C2930471,Bilateral Wilms Tumor,,DisGeNET,,,,,,,,,,
20497,:Protein,ENSG00000183098,,,,ENSG00000183098,GPC6,10082,BridgeDB,,,,,,,,,,
20498,:Disease,,C0206762,,,C0206762,"Limb Deformities, Congenital",,DisGeNET,,,,,,,,,,
20499,:Disease,,C1850318,,,C1850318,Omodysplasia type 1,,DisGeNET,,,,,,,,,,
20500,:Disease,,C2936816,,,C2936816,"Micromelic dysplasia, congenital, with dislocation of radius",,DisGeNET,,,,,,,,,,
20504,:Protein,ENSG00000167588,,,,ENSG00000167588,GPD1,2819,BridgeDB,,,,,,,,,,
20505,:Disease,,C3280953,,,C3280953,"HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE",,DisGeNET,,,,,,,,,,
20517,:Protein,ENSG00000101850,,,,ENSG00000101850,GPR143,4935,BridgeDB,,,,,,,,,,
20518,:Disease,,C0342684,,,C0342684,"Ocular albinism, type I",,DisGeNET,,,,,,,,,,
20519,:Disease,,C3151752,,,C3151752,"NYSTAGMUS 6, CONGENITAL, X-LINKED",,DisGeNET,,,,,,,,,,
20520,:Disease,,C0028738,,,C0028738,Nystagmus,,DisGeNET,,,,,,,,,,
20521,:Disease,,C1963184,,,C1963184,"Nystagmus, CTCAE 3.0",,DisGeNET,,,,,,,,,,
20522,:Disease,,C4554036,,,C4554036,"Nystagmus, CTCAE 5.0",,DisGeNET,,,,,,,,,,
20538,:Protein,ENSG00000125245,,,,ENSG00000125245,GPR18,2841,BridgeDB,,,,,,,,,,
20543,:Protein,ENSG00000013588,,,,ENSG00000013588,GPRC5A,9052,BridgeDB,,,,,,,,,,
20545,:Protein,ENSG00000180875,,,,ENSG00000180875,GREM2,64388,BridgeDB,,,,,,,,,,
20546,:Disease,,C4310638,,,C4310638,"TOOTH AGENESIS, SELECTIVE, 9",,DisGeNET,,,,,,,,,,
20550,:Protein,ENSG00000134317,,,,ENSG00000134317,GRHL1,29841,BridgeDB,,,,,,,,,,
20551,:Protein,ENSG00000167914,,,,ENSG00000167914,GSDMA,284110,BridgeDB,,,,,,,,,,
20557,:Protein,ENSG00000104687,,,,ENSG00000104687,GSR,2936,BridgeDB,,,,,,,,,,
20558,:Disease,,C0033626,,,C0033626,Protein Deficiency,,DisGeNET,,,,,,,,,,
20559,:Disease,,C0270715,,,C0270715,"Degenerative Diseases, Central Nervous System",,DisGeNET,,,,,,,,,,
20560,:Disease,,C0524851,,,C0524851,Neurodegenerative Disorders,,DisGeNET,,,,,,,,,,
20561,:Disease,,C0751733,,,C0751733,"Degenerative Diseases, Spinal Cord",,DisGeNET,,,,,,,,,,
20562,:Disease,,C0393554,,,C0393554,Amyotrophic Lateral Sclerosis With Dementia,,DisGeNET,,,,,,,,,,
20563,:Disease,,C0543859,,,C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",,DisGeNET,,,,,,,,,,
20564,:Disease,,C0020550,,,C0020550,Hyperthyroidism,,DisGeNET,,,,,,,,,,
20565,:Disease,,C3714618,,,C3714618,Primary Hyperthyroidism,,DisGeNET,,,,,,,,,,
20566,:Disease,,C0020615,,,C0020615,Hypoglycemia,,DisGeNET,,,,,,,,,,
20567,:Disease,,C0271708,,,C0271708,Fasting Hypoglycemia,,DisGeNET,,,,,,,,,,
20568,:Disease,,C0271710,,,C0271710,Reactive hypoglycemia,,DisGeNET,,,,,,,,,,
20569,:Disease,,C1456865,,,C1456865,Ureteral Calculi,,DisGeNET,,,,,,,,,,
20570,:Disease,,C0520572,,,C0520572,Enzymopathy,,DisGeNET,,,,,,,,,,
20577,:Drug,,,DB00262,,CHEMBL513,CARMUSTINE,,OpenTargets,,,,,,,,"L01AD01,L01AD,L01A,L01,L,Drug",,
20578,:Drug,,,DB03310,,CHEMBL1372,OXIGLUTATIONE,,OpenTargets,,,,,,,,Drug,,
20579,:Protein,ENSG00000197448,,,,ENSG00000197448,GSTK1,373156,BridgeDB,,,,,,,,,,
20585,:Protein,ENSG00000100577,,,,ENSG00000100577,GSTZ1,2954,BridgeDB,,,,,,,,,,
20586,:Disease,,C1291607,,,C1291607,Deficiency of maleylacetoacetate isomerase,,DisGeNET,,,,,,,,,,
20587,:Disease,,C0042594,,,C0042594,Vestibular Diseases,,DisGeNET,,,,,,,,,,
20597,:Protein,ENSG00000122034,,,,ENSG00000122034,GTF3A,2971,BridgeDB,,,,,,,,,,
20605,:Protein,ENSG00000155115,,,,ENSG00000155115,GTF3C6,112495,BridgeDB,,,,,,,,,,
20611,:Protein,ENSG00000101890,,,,ENSG00000101890,GUCY2F,2986,BridgeDB,,,,,,,,,,
20623,:Protein,ENSG00000056998,,,,ENSG00000056998,GYG2,8908,BridgeDB,,,,,,,,,,
20624,:Disease,,C0017919,,,C0017919,Glycogen Storage Disease,,DisGeNET,,,,,,,,,,
20632,:Protein,ENSG00000250361,,,,ENSG00000250361,GYPB,2994,BridgeDB,,,,,,,,,,
20633,:Disease,,C0024530,,,C0024530,Malaria,,DisGeNET,,,,,,,,,,
20635,:Protein,ENSG00000136732,,,,ENSG00000136732,GYPC,2995,BridgeDB,,,,,,,,,,
20636,:Disease,,C0013902,,,C0013902,"Elliptocytosis, Hereditary",,DisGeNET,,,,,,,,,,
20638,:Protein,ENSG00000197465,,,,ENSG00000197465,GYPE,2996,BridgeDB,,,,,,,,,,
20640,:Protein,ENSG00000063854,,,,ENSG00000063854,HAGH,3029,BridgeDB,,,,,,,,,,
20645,:Protein,ENSG00000101323,,,,ENSG00000101323,HAO1,54363,BridgeDB,,,,,,,,,,
20655,:Protein,ENSG00000170961,,,,ENSG00000170961,HAS2,3037,BridgeDB,,,,,,,,,,
20674,:Protein,ENSG00000143575,,,,ENSG00000143575,HAX1,10456,BridgeDB,,,,,,,,,,
20675,:Disease,,C1853118,,,C1853118,Severe congenital neutropenia,,DisGeNET,,,,,,,,,,
20687,:Protein,ENSG00000196917,,,,ENSG00000196917,HCAR1,27198,BridgeDB,,,,,,,,,,
20691,:Protein,ENSG00000228789,,,,ENSG00000228789,HCG22,285834,BridgeDB,,,,,,,,,,
20692,:Protein,ENSG00000163517,,,,ENSG00000163517,HDAC11,79885,BridgeDB,,,,,,,,,,
