,dbID,atcClassification,id
1723,DB01813,Drug,
1724,DB01814,Drug,
1725,DB01815,Drug,
1726,DB01816,Drug,CHEMBL311226
1727,DB01817,Drug,
1728,DB01818,Drug,
1729,DB01819,Drug,CHEMBL1235228
1730,DB01820,Drug,CHEMBL1230658
1731,DB01821,Drug,CHEMBL44833
1732,DB01822,Drug,
1733,DB01823,Drug,CHEMBL595439
1734,DB01824,Drug,
1735,DB01825,Drug,
1736,DB01826,Drug,
1737,DB01827,Drug,
1738,DB01828,Drug,CHEMBL43280
1739,DB01829,Drug,
1740,DB01830,Drug,
1741,DB01831,Drug,
1742,DB01832,Drug,
1743,DB01833,Drug,CHEMBL443732
1744,DB01834,Drug,
1745,DB01835,Drug,
1746,DB01836,Drug,CHEMBL270527
1747,DB01837,Drug,CHEMBL1234916
1748,DB01838,Drug,
1749,DB01839,Drug,CHEMBL286398
1750,DB01840,Drug,
1751,DB01841,Drug,
1752,DB01842,Drug,
1753,DB01843,Drug,CHEMBL594722
1754,DB01844,Drug,CHEMBL268291
1755,DB01846,Drug,
1756,DB01847,Drug,CHEMBL187835
1757,DB01849,Drug,
1758,DB01850,Drug,
1759,DB01851,Drug,CHEMBL1236196
1760,DB01852,Drug,CHEMBL150
1761,DB01853,Drug,
1762,DB01854,Drug,
1763,DB01855,Drug,
1764,DB01856,Drug,CHEMBL1235351
1765,DB01857,Drug,
1766,DB01858,Drug,CHEMBL185097
1767,DB01859,Drug,CHEMBL1236081
1768,DB01860,Drug,CHEMBL480329
1769,DB01861,Drug,CHEMBL375951
1770,DB01862,Drug,
1771,DB01863,Drug,CHEMBL23552
1772,DB01864,Drug,CHEMBL1204628
1773,DB01865,Drug,CHEMBL297053
1774,DB01866,Drug,
1775,DB01868,Drug,
1776,DB01870,Drug,
1777,DB01871,Drug,CHEMBL261723
1778,DB01872,Drug,
1779,DB01873,Drug,CHEMBL96172
1780,DB01874,Drug,
1781,DB01875,Drug,CHEMBL219341
1782,DB01876,Drug,
1783,DB01877,Drug,
1784,DB01878,Drug,CHEMBL90039
1785,DB01879,Drug,
1786,DB01880,Drug,CHEMBL145
1787,DB01881,Drug,
1788,DB01882,Drug,
1789,DB01883,Drug,
1790,DB01884,Drug,CHEMBL383705
1791,DB01885,Drug,
1792,DB01887,Drug,
1793,DB01888,Drug,CHEMBL361348
1794,DB01889,Drug,CHEMBL142348
1795,DB01890,Drug,
1796,DB01891,Drug,
1797,DB01892,Drug,CHEMBL1237210
1798,DB01893,Drug,CHEMBL1234640
1799,DB01895,Drug,
1800,DB01896,Drug,CHEMBL20852
1801,DB01897,Drug,
1802,DB01898,Drug,CHEMBL38885
1803,DB01899,Drug,
1804,DB01901,Drug,CHEMBL1235872
1805,DB01902,Drug,
1806,DB01903,Drug,CHEMBL1160593
1807,DB01905,Drug,
1808,DB01906,Drug,CHEMBL265758
1809,DB01908,Drug,CHEMBL436462
1810,DB01909,Drug,CHEMBL1230813
1811,DB01910,Drug,CHEMBL1214186
1812,DB01911,Drug,
1813,DB01912,Drug,
1814,DB01914,Drug,
1815,DB01915,Drug,
1816,DB01917,Drug,CHEMBL46257
1817,DB01918,Drug,
1818,DB01919,Drug,CHEMBL18602
1819,DB01920,Drug,CHEMBL1229648
1820,DB01921,Drug,
1821,DB01922,Drug,CHEMBL1233953
1822,DB01923,Drug,
1823,DB01924,Drug,CHEMBL16300
1824,DB01925,Drug,
1825,DB01926,Drug,
1826,DB01927,Drug,CHEMBL151604
1827,DB01929,Drug,
1828,DB01930,Drug,
1829,DB01931,Drug,CHEMBL50267
1830,DB01932,Drug,CHEMBL426643
1831,DB01933,Drug,CHEMBL1236539
1832,DB01934,Drug,CHEMBL1231055
1833,DB01935,Drug,CHEMBL45412
1834,DB01936,Drug,
1835,DB01937,Drug,
1836,DB01938,Drug,
1837,DB01939,Drug,
1838,DB01940,Drug,
1839,DB01941,Drug,CHEMBL288436
1840,DB01942,Drug,CHEMBL116736
1841,DB01944,Drug,CHEMBL1231358
1842,DB01945,Drug,
1843,DB01946,Drug,CHEMBL269264
1844,DB01947,Drug,CHEMBL286678
1845,DB01948,Drug,CHEMBL564912
1846,DB01949,Drug,
1847,DB01950,Drug,CHEMBL259850
1848,DB01951,Drug,CHEMBL6367
1849,DB01952,Drug,
1850,DB01953,Drug,CHEMBL193156
1851,DB01954,Drug,CHEMBL63
1852,DB01955,Drug,CHEMBL171623
1853,DB01956,Drug,CHEMBL239243
1854,DB01957,Drug,CHEMBL41172
1855,DB01958,Drug,CHEMBL329985
1856,DB01959,Drug,
1857,DB01960,Drug,
1858,DB01961,Drug,CHEMBL258728
1859,DB01962,Drug,CHEMBL286939
1860,DB01963,Drug,CHEMBL20461
1861,DB01964,Drug,
1862,DB01965,Drug,CHEMBL1232397
1863,DB01966,Drug,
1864,DB01967,Drug,
1865,DB01968,Drug,
1866,DB01969,Drug,
1867,DB01970,Drug,
1868,DB01971,Drug,CHEMBL1236602
1869,DB01972,Drug,CHEMBL283807
1870,DB01973,Drug,
1871,DB01974,Drug,
1872,DB01975,Drug,
1873,DB01976,Drug,CHEMBL82321
1874,DB01977,Drug,CHEMBL104937
1875,DB01978,Drug,
1876,DB01979,Drug,CHEMBL195368
1877,DB01980,Drug,
1878,DB01981,Drug,
1879,DB01982,Drug,
1880,DB01983,Drug,
1881,DB01984,Drug,
1882,DB01985,Drug,
1883,DB01986,Drug,
1884,DB01987,Drug,CHEMBL1236235
1885,DB01988,Drug,
1886,DB01989,Drug,
1887,DB01990,Drug,CHEMBL1231592
1888,DB01991,Drug,CHEMBL1236446
1889,DB01992,Drug,CHEMBL1213327
1890,DB01993,Drug,
1891,DB01994,Drug,
1892,DB01995,Drug,CHEMBL72388
1893,DB01996,Drug,CHEMBL15722
1894,DB01997,Drug,CHEMBL479014
1895,DB01998,Drug,
1896,DB01999,Drug,
1897,DB02001,Drug,CHEMBL328827
1898,DB02002,Drug,
1899,DB02004,Drug,CHEMBL34062
1900,DB02005,Drug,
1901,DB02006,Drug,
1902,DB02007,Drug,
1903,DB02008,Drug,CHEMBL120708
1904,DB02009,Drug,CHEMBL151663
1905,DB02010,Drug,CHEMBL388978
1906,DB02011,Drug,CHEMBL1160567
1907,DB02013,Drug,
1908,DB02014,Drug,CHEMBL117869
1909,DB02015,Drug,CHEMBL46294
1910,DB02016,Drug,CHEMBL304858
1911,DB02017,Drug,
1912,DB02018,Drug,CHEMBL1231012
1913,DB02019,Drug,CHEMBL321113
1914,DB02020,Drug,CHEMBL63055
1915,DB02021,Drug,CHEMBL84446
1916,DB02022,Drug,
1917,DB02023,Drug,
1918,DB02024,Drug,CHEMBL851
1919,DB02025,Drug,CHEMBL70421
1920,DB02026,Drug,CHEMBL104829
1921,DB02027,Drug,CHEMBL227937
1922,DB02028,Drug,
1923,DB02029,Drug,CHEMBL1231797
1924,DB02030,Drug,
1925,DB02031,Drug,
1926,DB02032,Drug,CHEMBL269634
1927,DB02033,Drug,
1928,DB02034,Drug,CHEMBL371197
1929,DB02035,Drug,CHEMBL94809
1930,DB02036,Drug,
1931,DB02037,Drug,CHEMBL175083
1932,DB02038,Drug,
1933,DB02039,Drug,
1934,DB02041,Drug,CHEMBL14882
1935,DB02042,Drug,CHEMBL1229767
1936,DB02043,Drug,CHEMBL2286758
1937,DB02044,Drug,CHEMBL107251
1938,DB02045,Drug,
1939,DB02046,Drug,
1940,DB02047,Drug,
1941,DB02048,Drug,
1942,DB02049,Drug,CHEMBL93687
1943,DB02051,Drug,
1944,DB02052,Drug,CHEMBL216543
1945,DB02053,Drug,
1946,DB02054,Drug,CHEMBL307782
1947,DB02055,Drug,CHEMBL479880
1948,DB02056,Drug,CHEMBL1235252
1949,DB02057,Drug,CHEMBL276815
1950,DB02058,Drug,
1951,DB02059,Drug,
1952,DB02060,Drug,CHEMBL18850
1953,DB02061,Drug,
1954,DB02062,Drug,
1955,DB02063,Drug,
1956,DB02065,Drug,
1957,DB02066,Drug,
1958,DB02067,Drug,CHEMBL1236268
1959,DB02068,Drug,
1960,DB02069,Drug,
1961,DB02070,Drug,CHEMBL498416
1962,DB02071,Drug,CHEMBL70176
1963,DB02072,Drug,CHEMBL139423
1964,DB02073,Drug,CHEMBL455477
1965,DB02074,Drug,CHEMBL1213528
1966,DB02075,Drug,
1967,DB02076,Drug,CHEMBL1230513
1968,DB02077,Drug,CHEMBL228077
1969,DB02078,Drug,CHEMBL1235255
1970,DB02079,Drug,CHEMBL347862
1971,DB02080,Drug,
1972,DB02081,Drug,
1973,DB02082,Drug,CHEMBL1233085
1974,DB02083,Drug,
1975,DB02084,Drug,
1976,DB02085,Drug,CHEMBL265325
1977,DB02086,Drug,
1978,DB02087,Drug,
1979,DB02088,Drug,
1980,DB02089,Drug,CHEMBL434025
1981,DB02090,Drug,
1982,DB02091,Drug,CHEMBL47302
1983,DB02092,Drug,
1984,DB02093,Drug,CHEMBL1235136
1985,DB02094,Drug,CHEMBL320049
1986,DB02095,Drug,CHEMBL326294
1987,DB02096,Drug,CHEMBL329433
1988,DB02097,Drug,CHEMBL95606
1989,DB02098,Drug,CHEMBL1161861
1990,DB02099,Drug,
1991,DB02100,Drug,CHEMBL467773
1992,DB02101,Drug,CHEMBL189464
1993,DB02102,Drug,CHEMBL223824
1994,DB02103,Drug,
1995,DB02104,Drug,CHEMBL50514
1996,DB02105,Drug,CHEMBL168276
1997,DB02106,Drug,
1998,DB02107,Drug,
1999,DB02108,Drug,
2000,DB02109,Drug,CHEMBL331373
2001,DB02110,Drug,
2002,DB02111,Drug,CHEMBL1232960
2003,DB02112,Drug,CHEMBL369251
2004,DB02113,Drug,CHEMBL293405
2005,DB02114,Drug,
2006,DB02115,Drug,CHEMBL486422
2007,DB02116,Drug,CHEMBL280074
2008,DB02118,Drug,
2009,DB02119,Drug,CHEMBL1233322
2010,DB02120,Drug,CHEMBL1230806
2011,DB02121,Drug,CHEMBL1231396
2012,DB02122,Drug,
2013,DB02123,Drug,CHEMBL1552
2014,DB02124,Drug,CHEMBL1233316
2015,DB02125,Drug,
2016,DB02126,Drug,
2017,DB02127,Drug,CHEMBL1232236
2018,DB02128,Drug,
2019,DB02129,Drug,
2020,DB02130,Drug,CHEMBL120568
2021,DB02131,Drug,
2022,DB02132,Drug,CHEMBL10413
2023,DB02133,Drug,
2024,DB02134,Drug,CHEMBL1424
2025,DB02135,Drug,
2026,DB02136,Drug,
2027,DB02137,Drug,
2028,DB02138,Drug,
2029,DB02139,Drug,CHEMBL65730
2030,DB02140,Drug,
2031,DB02141,Drug,CHEMBL444422
2032,DB02142,Drug,CHEMBL1235353
2033,DB02143,Drug,CHEMBL72434
2034,DB02144,Drug,
2035,DB02145,Drug,CHEMBL14245
2036,DB02146,Drug,
2037,DB02147,Drug,
2038,DB02148,Drug,CHEMBL1235900
2039,DB02151,Drug,
2040,DB02152,Drug,CHEMBL281948
2041,DB02153,Drug,CHEMBL1160508
2042,DB02154,Drug,CHEMBL1231277
2043,DB02155,Drug,
2044,DB02156,Drug,
2045,DB02158,Drug,
2046,DB02159,Drug,
2047,DB02160,Drug,
2048,DB02161,Drug,
2049,DB02162,Drug,
2050,DB02163,Drug,CHEMBL249120
2051,DB02164,Drug,
2052,DB02165,Drug,
2053,DB02166,Drug,CHEMBL332935
2054,DB02167,Drug,
2055,DB02168,Drug,
2056,DB02169,Drug,CHEMBL280487
2057,DB02170,Drug,CHEMBL270512
2058,DB02172,Drug,CHEMBL405957
2059,DB02173,Drug,
2060,DB02174,Drug,CHEMBL1232207
2061,DB02175,Drug,CHEMBL7942
2062,DB02176,Drug,
2063,DB02177,Drug,
2064,DB02178,Drug,CHEMBL1233464
2065,DB02179,Drug,
2066,DB02180,Drug,
2067,DB02181,Drug,CHEMBL477486
2068,DB02182,Drug,
2069,DB02183,Drug,
2070,DB02184,Drug,CHEMBL1232392
2071,DB02185,Drug,
2072,DB02186,Drug,
2073,DB02187,Drug,CHEMBL323533
2074,DB02188,Drug,
2075,DB02189,Drug,CHEMBL1383
2076,DB02190,Drug,
2077,DB02191,Drug,
2078,DB02192,Drug,CHEMBL448500
2079,DB02194,Drug,
2080,DB02195,Drug,
2081,DB02196,Drug,
2082,DB02197,Drug,CHEMBL73303
2083,DB02198,Drug,CHEMBL60851
2084,DB02199,Drug,
2085,DB02200,Drug,
2086,DB02201,Drug,
2087,DB02202,Drug,CHEMBL1231501
2088,DB02203,Drug,CHEMBL1231861
2089,DB02205,Drug,CHEMBL1231470
2090,DB02207,Drug,CHEMBL247378
2091,DB02209,Drug,
2092,DB02210,Drug,CHEMBL458616
2093,DB02211,Drug,CHEMBL436947
2094,DB02213,Drug,
2095,DB02214,Drug,
2096,DB02215,Drug,
2097,DB02216,Drug,CHEMBL394875
2098,DB02217,Drug,
2099,DB02218,Drug,
2100,DB02219,Drug,
2101,DB02220,Drug,
2102,DB02221,Drug,
2103,DB02222,Drug,
2104,DB02223,Drug,
2105,DB02224,Drug,CHEMBL66
2106,DB02225,Drug,
2107,DB02226,Drug,CHEMBL455333
2108,DB02227,Drug,
2109,DB02228,Drug,
2110,DB02229,Drug,
2111,DB02230,Drug,CHEMBL473922
2112,DB02232,Drug,CHEMBL280998
2113,DB02233,Drug,
2114,DB02234,Drug,CHEMBL321691
2115,DB02235,Drug,
2116,DB02236,Drug,
2117,DB02237,Drug,
2118,DB02238,Drug,CHEMBL1233860
2119,DB02239,Drug,CHEMBL1235931
2120,DB02240,Drug,CHEMBL1190232
2121,DB02241,Drug,
2122,DB02242,Drug,
2123,DB02243,Drug,
2124,DB02245,Drug,CHEMBL219544
2125,DB02247,Drug,
2126,DB02248,Drug,
2127,DB02249,Drug,CHEMBL119596
2128,DB02251,Drug,
2129,DB02252,Drug,CHEMBL116296
2130,DB02253,Drug,
2131,DB02254,Drug,
2132,DB02255,Drug,CHEMBL19611
2133,DB02256,Drug,CHEMBL353955
2134,DB02257,Drug,
2135,DB02258,Drug,CHEMBL77961
2136,DB02259,Drug,
2137,DB02260,Drug,
2138,DB02261,Drug,CHEMBL1235246
2139,DB02262,Drug,CHEMBL1235017
2140,DB02263,Drug,CHEMBL1232918
2141,DB02264,Drug,
2142,DB02265,Drug,
2143,DB02266,"M01AG03,M01AG,M01A,M01,M,Drug",CHEMBL23588
2144,DB02267,Drug,
2145,DB02268,Drug,CHEMBL109162
2146,DB02269,Drug,CHEMBL1190476
2147,DB02270,Drug,
2148,DB02271,Drug,
2149,DB02272,Drug,CHEMBL1235151
2150,DB02273,Drug,
2151,DB02274,Drug,
2152,DB02275,Drug,
2153,DB02276,Drug,
2154,DB02277,Drug,CHEMBL87277
2155,DB02278,Drug,
2156,DB02279,Drug,CHEMBL950
2157,DB02280,Drug,CHEMBL292411
2158,DB02281,Drug,CHEMBL471524
2159,DB02282,Drug,CHEMBL277041
2160,DB02283,Drug,
2161,DB02285,Drug,CHEMBL1325592
2162,DB02286,Drug,
2163,DB02287,Drug,
2164,DB02288,Drug,CHEMBL95097
2165,DB02289,Drug,CHEMBL1232731
2166,DB02290,Drug,CHEMBL477508
2167,DB02292,Drug,CHEMBL286738
2168,DB02293,Drug,
2169,DB02294,Drug,
2170,DB02295,Drug,CHEMBL303041
2171,DB02296,Drug,CHEMBL372396
2172,DB02297,Drug,CHEMBL191632
2173,DB02298,Drug,
2174,DB02299,Drug,
2175,DB02300,"D05AX52,D05AX,D05A,D05,D,Drug;D05AX02,D05AX,D05A,D05,D,Drug",CHEMBL1200666
2176,DB02301,Drug,
2177,DB02302,Drug,
2178,DB02303,Drug,
2179,DB02304,Drug,CHEMBL1901620
2180,DB02305,Drug,
2181,DB02306,Drug,
2182,DB02307,Drug,
2183,DB02308,Drug,
2184,DB02309,Drug,
2185,DB02310,Drug,
2186,DB02311,Drug,
2187,DB02312,Drug,
2188,DB02313,Drug,
2189,DB02314,Drug,
2190,DB02315,Drug,CHEMBL395336
2191,DB02316,Drug,CHEMBL165315
2192,DB02317,Drug,
2193,DB02318,Drug,
2194,DB02319,Drug,
2195,DB02320,Drug,CHEMBL335315
2196,DB02321,Drug,
2197,DB02322,Drug,
2198,DB02323,Drug,CHEMBL371948
2199,DB02324,Drug,CHEMBL1160594
2200,DB02325,"D08AX05,D08AX,D08A,D08,D,Drug",CHEMBL582
2201,DB02326,Drug,
2202,DB02327,Drug,CHEMBL1235259
2203,DB02328,Drug,
2204,DB02329,"A02BX01,A02BX,A02B,A02,A,Drug;A02BX71,A02BX,A02B,A02,A,Drug;A02BX51,A02BX,A02B,A02,A,Drug",CHEMBL499915
2205,DB02331,Drug,CHEMBL278785
2206,DB02332,Drug,
2207,DB02333,Drug,CHEMBL374361
2208,DB02334,Drug,
2209,DB02335,Drug,CHEMBL362148
2210,DB02336,Drug,CHEMBL319516
2211,DB02337,Drug,
2212,DB02338,Drug,CHEMBL407009
2213,DB02339,Drug,CHEMBL445353
2214,DB02340,Drug,
2215,DB02341,Drug,
2216,DB02342,Drug,CHEMBL299613
2217,DB02343,Drug,
2218,DB02345,Drug,CHEMBL109962
2219,DB02346,Drug,
2220,DB02347,Drug,CHEMBL594840
2221,DB02348,Drug,
2222,DB02349,Drug,
2223,DB02350,Drug,CHEMBL1234370
2224,DB02352,Drug,CHEMBL194009
2225,DB02353,Drug,
2226,DB02354,Drug,
2227,DB02355,Drug,
2228,DB02356,Drug,
2229,DB02357,Drug,
2230,DB02358,Drug,
2231,DB02359,Drug,CHEMBL113194
2232,DB02360,Drug,
2233,DB02361,Drug,
2234,DB02362,"D02BA01,D02BA,D02B,D02,D,Drug;D11AX23,D11AX,D11A,D11,D,Drug",CHEMBL542
2235,DB02363,Drug,
2236,DB02364,Drug,
2237,DB02365,Drug,CHEMBL415879
2238,DB02366,Drug,
2239,DB02367,Drug,CHEMBL358064
2240,DB02368,Drug,
2241,DB02369,Drug,
2242,DB02370,Drug,
2243,DB02371,Drug,
2244,DB02372,Drug,CHEMBL1235533
2245,DB02373,Drug,
2246,DB02374,Drug,
2247,DB02375,Drug,CHEMBL164
2248,DB02376,Drug,CHEMBL1213470
2249,DB02377,Drug,CHEMBL219568
2250,DB02378,Drug,CHEMBL362592
2251,DB02379,Drug,CHEMBL1614854
2252,DB02380,Drug,CHEMBL1229971
2253,DB02381,Drug,CHEMBL1234777
2254,DB02382,Drug,
2255,DB02383,"A10XA01,A10XA,A10X,A10,A,Drug",CHEMBL436
2256,DB02384,Drug,
2257,DB02385,Drug,
2258,DB02386,Drug,CHEMBL40422
2259,DB02388,Drug,CHEMBL437747
2260,DB02390,Drug,
2261,DB02391,Drug,
2262,DB02393,Drug,
2263,DB02394,Drug,
2264,DB02395,Drug,
2265,DB02396,Drug,CHEMBL1232589
2266,DB02397,Drug,CHEMBL1236347
2267,DB02398,Drug,CHEMBL324168
2268,DB02399,Drug,
2269,DB02400,Drug,CHEMBL357217
2270,DB02401,Drug,
2271,DB02402,Drug,
2272,DB02403,Drug,CHEMBL195328
2273,DB02404,Drug,
2274,DB02405,Drug,CHEMBL1231458
2275,DB02406,Drug,CHEMBL268736
2276,DB02407,Drug,CHEMBL269881
2277,DB02408,Drug,
2278,DB02409,Drug,
2279,DB02410,Drug,
2280,DB02411,Drug,CHEMBL1233239
2281,DB02412,Drug,
2282,DB02413,Drug,
2283,DB02414,Drug,CHEMBL188225
2284,DB02415,Drug,
2285,DB02416,Drug,
2286,DB02417,Drug,CHEMBL220087
2287,DB02418,Drug,
2288,DB02419,Drug,
2289,DB02420,Drug,CHEMBL426815
2290,DB02421,Drug,CHEMBL227711
2291,DB02422,Drug,
2292,DB02423,Drug,
2293,DB02424,Drug,CHEMBL278315
2294,DB02425,Drug,
2295,DB02426,Drug,
2296,DB02427,Drug,CHEMBL325434
2297,DB02428,Drug,CHEMBL1160559
2298,DB02429,Drug,
2299,DB02430,Drug,
2300,DB02431,Drug,CHEMBL223533
2301,DB02432,Drug,CHEMBL357488
2302,DB02433,Drug,
2303,DB02434,Drug,CHEMBL1230333
2304,DB02435,Drug,
2305,DB02436,Drug,
2306,DB02437,Drug,
2307,DB02438,Drug,
2308,DB02441,Drug,CHEMBL280051
2309,DB02442,Drug,
2310,DB02443,Drug,
2311,DB02445,Drug,CHEMBL396380
2312,DB02446,Drug,CHEMBL63893
2313,DB02447,Drug,CHEMBL611940
2314,DB02448,Drug,CHEMBL107874
2315,DB02449,Drug,CHEMBL91649
2316,DB02450,Drug,CHEMBL1231535
2317,DB02451,Drug,CHEMBL490225
2318,DB02452,Drug,CHEMBL363559
2319,DB02453,Drug,
2320,DB02454,Drug,
2321,DB02455,Drug,
2322,DB02456,Drug,CHEMBL596186
2323,DB02457,Drug,
2324,DB02458,Drug,CHEMBL1232997
2325,DB02459,Drug,CHEMBL20767
2326,DB02460,Drug,
2327,DB02461,Drug,CHEMBL175970
2328,DB02462,Drug,
2329,DB02463,Drug,
2330,DB02464,Drug,CHEMBL522
2331,DB02465,Drug,
2332,DB02466,Drug,CHEMBL95700
2333,DB02467,Drug,
2334,DB02468,Drug,
2335,DB02469,Drug,
2336,DB02470,Drug,
2337,DB02471,Drug,
2338,DB02472,Drug,
2339,DB02473,Drug,CHEMBL109367
2340,DB02474,Drug,
2341,DB02475,Drug,
2342,DB02477,Drug,CHEMBL6269
2343,DB02479,Drug,
2344,DB02480,Drug,CHEMBL185586
2345,DB02481,Drug,CHEMBL46293
2346,DB02482,Drug,
2347,DB02483,Drug,
2348,DB02484,Drug,
2349,DB02485,Drug,CHEMBL1234647
2350,DB02486,Drug,CHEMBL1233278
2351,DB02488,Drug,
2352,DB02489,Drug,CHEMBL1230674
2353,DB02490,Drug,
2354,DB02491,Drug,CHEMBL233209
2355,DB02492,Drug,
2356,DB02493,Drug,CHEMBL323799
2357,DB02494,Drug,
2358,DB02495,Drug,CHEMBL406254
2359,DB02496,Drug,CHEMBL1232414
2360,DB02497,Drug,
2361,DB02498,Drug,
2362,DB02499,Drug,
2363,DB02500,Drug,
2364,DB02501,Drug,
2365,DB02502,Drug,CHEMBL1230628
2366,DB02503,Drug,CHEMBL139928
2367,DB02504,Drug,CHEMBL149502
2368,DB02505,Drug,
2369,DB02506,Drug,
2370,DB02508,Drug,
2371,DB02509,Drug,
2372,DB02510,Drug,CHEMBL1163086
2373,DB02511,Drug,
2374,DB02512,Drug,CHEMBL1235115
2375,DB02513,Drug,CHEMBL29411
2376,DB02514,Drug,
2377,DB02515,Drug,CHEMBL1232920
2378,DB02516,Drug,
2379,DB02517,Drug,CHEMBL76232
2380,DB02518,Drug,
2381,DB02519,Drug,
2382,DB02520,Drug,CHEMBL961
2383,DB02521,Drug,CHEMBL1232770
2384,DB02522,Drug,
2385,DB02523,Drug,
2386,DB02524,Drug,
2387,DB02525,Drug,
2388,DB02526,Drug,CHEMBL303992
2389,DB02527,Drug,CHEMBL316966
2390,DB02528,Drug,
2391,DB02529,Drug,
2392,DB02530,Drug,CHEMBL96
2393,DB02531,Drug,CHEMBL108778
2394,DB02532,Drug,CHEMBL6885
2395,DB02534,Drug,CHEMBL1229950
2396,DB02535,Drug,
2397,DB02536,Drug,
2398,DB02537,Drug,
2399,DB02538,Drug,CHEMBL99842
2400,DB02540,Drug,
2401,DB02541,Drug,
2402,DB02542,Drug,
2403,DB02543,Drug,CHEMBL509027
2404,DB02544,Drug,CHEMBL67133
2405,DB02545,Drug,CHEMBL192966
2406,DB02546,"L01XH01,L01XH,L01X,L01,L,Drug",CHEMBL98
2407,DB02547,Drug,CHEMBL1233001
2408,DB02548,Drug,
2409,DB02549,Drug,
2410,DB02550,Drug,CHEMBL112953
2411,DB02551,Drug,
2412,DB02552,Drug,CHEMBL41342
2413,DB02553,Drug,
2414,DB02554,Drug,
2415,DB02555,Drug,
2416,DB02556,Drug,CHEMBL379630
2417,DB02557,Drug,CHEMBL479579
2418,DB02558,Drug,
2419,DB02559,Drug,
2420,DB02560,Drug,
2421,DB02561,Drug,
2422,DB02562,Drug,
2423,DB02563,Drug,
2424,DB02565,Drug,CHEMBL140000
2425,DB02566,Drug,
2426,DB02567,Drug,CHEMBL386051
2427,DB02568,Drug,CHEMBL311300
2428,DB02569,Drug,CHEMBL405730
2429,DB02570,Drug,
2430,DB02571,Drug,
2431,DB02572,Drug,
2432,DB02573,Drug,CHEMBL1088749
2433,DB02574,Drug,
2434,DB02576,Drug,
2435,DB02577,Drug,
2436,DB02578,Drug,
2437,DB02579,Drug,CHEMBL1213529
2438,DB02580,Drug,
2439,DB02581,Drug,CHEMBL429852
2440,DB02582,Drug,
2441,DB02583,Drug,CHEMBL32113
2442,DB02585,Drug,CHEMBL184048
2443,DB02586,Drug,CHEMBL593442
2444,DB02587,Drug,CHEMBL52606
2445,DB02588,Drug,
2446,DB02589,Drug,
2447,DB02590,Drug,
2448,DB02591,Drug,CHEMBL351132
2449,DB02592,Drug,
2450,DB02593,Drug,
2451,DB02594,Drug,CHEMBL66115
2452,DB02595,Drug,
2453,DB02596,Drug,CHEMBL132722
2454,DB02597,Drug,
2455,DB02598,Drug,
2456,DB02599,Drug,
2457,DB02600,Drug,CHEMBL674
2458,DB02601,Drug,CHEMBL130865
2459,DB02602,Drug,CHEMBL331858
2460,DB02603,Drug,
2461,DB02604,Drug,
2462,DB02606,Drug,
2463,DB02607,Drug,CHEMBL1236003
2464,DB02608,Drug,
2465,DB02609,Drug,
2466,DB02610,Drug,
2467,DB02611,Drug,
2468,DB02613,Drug,CHEMBL1232157
2469,DB02614,Drug,
2470,DB02615,Drug,CHEMBL180792
2471,DB02616,Drug,CHEMBL93647
2472,DB02617,Drug,
2473,DB02618,Drug,CHEMBL1234674
2474,DB02619,Drug,CHEMBL1231267
2475,DB02620,Drug,
2476,DB02621,Drug,CHEMBL404116
2477,DB02622,Drug,CHEMBL139050
2478,DB02623,Drug,
2479,DB02624,Drug,
2480,DB02625,Drug,
2481,DB02626,Drug,
2482,DB02627,Drug,CHEMBL109227
2483,DB02628,Drug,CHEMBL1230662
2484,DB02629,Drug,
2485,DB02630,Drug,
2486,DB02632,Drug,CHEMBL157265
2487,DB02633,Drug,CHEMBL572528
2488,DB02635,Drug,
2489,DB02636,Drug,CHEMBL600828
2490,DB02637,Drug,
2491,DB02638,"H01BA04,H01BA,H01B,H01,H,Drug",CHEMBL2135460
2492,DB02639,Drug,
2493,DB02640,"P01AX10,P01AX,P01A,P01,P,Drug",CHEMBL32838
2494,DB02641,Drug,CHEMBL238502
2495,DB02642,Drug,CHEMBL1232804
2496,DB02643,Drug,
2497,DB02644,Drug,
2498,DB02645,Drug,
2499,DB02646,Drug,
2500,DB02647,Drug,CHEMBL324942
2501,DB02648,Drug,CHEMBL1229656
2502,DB02649,Drug,
2503,DB02650,Drug,CHEMBL27551
2504,DB02651,Drug,CHEMBL267048
2505,DB02652,Drug,
2506,DB02654,Drug,
2507,DB02655,Drug,CHEMBL29757
2508,DB02656,Drug,CHEMBL98350
2509,DB02657,Drug,
2510,DB02658,Drug,CHEMBL1234696
2511,DB02659,"A05AA03,A05AA,A05A,A05,A,Drug",CHEMBL205596
2512,DB02660,Drug,CHEMBL590754
2513,DB02661,Drug,
2514,DB02662,Drug,CHEMBL336908
2515,DB02663,Drug,
2516,DB02664,Drug,CHEMBL31962
2517,DB02665,Drug,
2518,DB02666,Drug,
2519,DB02667,Drug,
2520,DB02668,Drug,CHEMBL300891
2521,DB02669,Drug,CHEMBL419499
2522,DB02670,Drug,
2523,DB02671,Drug,
2524,DB02673,Drug,CHEMBL490866
2525,DB02674,Drug,
2526,DB02675,Drug,
2527,DB02676,Drug,CHEMBL63859
2528,DB02677,Drug,
2529,DB02678,Drug,
2530,DB02679,Drug,CHEMBL56279
2531,DB02680,Drug,CHEMBL114070
2532,DB02681,Drug,
2533,DB02683,Drug,CHEMBL123850
