,dbID,atcClassification,id
13045,DB15112,Drug,
13046,DB15113,Drug,
13047,DB15114,Drug,CHEMBL2348780
13048,DB15115,Drug,
13049,DB15116,Drug,
13050,DB15117,Drug,CHEMBL3184657
13051,DB15118,Drug,
13052,DB15119,"L03AB15,L03AB,L03A,L03,L,Drug",
13053,DB15120,Drug,CHEMBL3092650
13054,DB15121,Drug,
13055,DB15122,Drug,
13056,DB15123,Drug,
13057,DB15124,Drug,
13058,DB15125,Drug,
13059,DB15126,Drug,
13060,DB15127,Drug,
13061,DB15128,Drug,
13062,DB15129,Drug,
13063,DB15130,Drug,CHEMBL249420
13064,DB15131,Drug,
13065,DB15132,Drug,CHEMBL3786896
13066,DB15133,"L01EX21,L01EX,L01E,L01,L,Drug",CHEMBL3402762
13067,DB15134,Drug,
13068,DB15135,Drug,
13069,DB15136,Drug,
13070,DB15137,Drug,CHEMBL457748
13071,DB15138,Drug,CHEMBL3623004
13072,DB15139,Drug,
13073,DB15140,Drug,
13074,DB15141,Drug,
13075,DB15143,Drug,CHEMBL4081711
13076,DB15144,Drug,
13077,DB15145,Drug,
13078,DB15146,Drug,
13079,DB15147,Drug,CHEMBL3989941
13080,DB15148,Drug,
13081,DB15149,"L01EN04,L01EN,L01E,L01,L,Drug",CHEMBL3701238
13082,DB15150,Drug,
13083,DB15151,Drug,
13084,DB15152,Drug,
13085,DB15153,Drug,
13086,DB15154,Drug,
13087,DB15155,Drug,
13088,DB15156,Drug,CHEMBL4076467
13089,DB15157,Drug,CHEMBL3905910
13090,DB15158,Drug,
13091,DB15159,Drug,
13092,DB15160,Drug,
13093,DB15161,Drug,CHEMBL207456
13094,DB15162,Drug,
13095,DB15163,Drug,
13096,DB15164,Drug,
13097,DB15165,Drug,
13098,DB15166,Drug,
13099,DB15167,Drug,CHEMBL392158
13100,DB15168,Drug,
13101,DB15169,Drug,CHEMBL3939295
13102,DB15170,Drug,CHEMBL4072833
13103,DB15171,Drug,
13104,DB15172,Drug,
13105,DB15173,Drug,
13106,DB15175,Drug,
13107,DB15176,Drug,
13108,DB15177,Drug,
13109,DB15178,Drug,
13110,DB15182,Drug,
13111,DB15183,Drug,
13112,DB15185,Drug,
13113,DB15186,Drug,CHEMBL3813842
13114,DB15187,Drug,CHEMBL2022968
13115,DB15188,Drug,CHEMBL2029605
13116,DB15189,Drug,CHEMBL3581647
13117,DB15190,Drug,
13118,DB15191,Drug,CHEMBL4297470
13119,DB15192,Drug,
13120,DB15193,Drug,CHEMBL3827379
13121,DB15194,Drug,
13122,DB15195,Drug,
13123,DB15197,Drug,CHEMBL223402
13124,DB15198,Drug,CHEMBL350719
13125,DB15199,Drug,CHEMBL3544919
13126,DB15200,Drug,
13127,DB15201,Drug,CHEMBL1602127
13128,DB15202,Drug,
13129,DB15203,Drug,CHEMBL3092995
13130,DB15204,"D01BA03,D01BA,D01B,D01,D,Drug",CHEMBL333325
13131,DB15205,Drug,CHEMBL113313
13132,DB15206,Drug,CHEMBL3833371
13133,DB15207,Drug,CHEMBL2181932
13134,DB15208,Drug,CHEMBL2088033
13135,DB15209,Drug,CHEMBL1761322
13136,DB15210,Drug,
13137,DB15211,Drug,
13138,DB15212,Drug,CHEMBL247951
13139,DB15213,Drug,
13140,DB15214,Drug,CHEMBL3806158
13141,DB15215,Drug,CHEMBL4296683
13142,DB15216,Drug,
13143,DB15217,Drug,
13144,DB15218,Drug,
13145,DB15219,Drug,CHEMBL4073443
13146,DB15220,Drug,
13147,DB15221,Drug,
13148,DB15222,Drug,CHEMBL3120793
13149,DB15223,Drug,
13150,DB15224,Drug,
13151,DB15225,Drug,
13152,DB15226,Drug,
13153,DB15227,Drug,CHEMBL4071161
13154,DB15228,Drug,
13155,DB15229,Drug,
13156,DB15230,Drug,CHEMBL1902931
13157,DB15231,Drug,
13158,DB15232,Drug,CHEMBL3639788
13159,DB15233,"L01EX18,L01EX,L01E,L01,L,Drug",CHEMBL4204794
13160,DB15234,Drug,
13161,DB15235,Drug,CHEMBL2203744
13162,DB15236,Drug,
13163,DB15237,Drug,CHEMBL1908917
13164,DB15238,Drug,
13165,DB15239,Drug,
13166,DB15240,Drug,
13167,DB15241,Drug,CHEMBL2364619
13168,DB15242,Drug,CHEMBL490029
13169,DB15243,Drug,CHEMBL500853
13170,DB15244,Drug,CHEMBL4297495
13171,DB15245,Drug,
13172,DB15246,Drug,CHEMBL457077
13173,DB15247,Drug,
13174,DB15248,"J05AX28,J05AX,J05A,J05,J,Drug",
13175,DB15249,Drug,
13176,DB15250,Drug,CHEMBL2178578
13177,DB15251,Drug,CHEMBL1230912
13178,DB15252,Drug,
13179,DB15253,Drug,
13180,DB15254,Drug,CHEMBL3264002
13181,DB15256,Drug,
13182,DB15257,Drug,
13183,DB15258,"L04AA41,L04AA,L04A,L04,L,Drug",
13184,DB15259,Drug,
13185,DB15260,Drug,
13186,DB15261,Drug,CHEMBL1867342
13187,DB15262,Drug,
13188,DB15263,"V04CJ01,V04CJ,V04C,V04,V,Drug",
13189,DB15264,Drug,
13190,DB15265,Drug,CHEMBL4297449
13191,DB15266,Drug,CHEMBL3348923
13192,DB15267,Drug,
13193,DB15268,Drug,
13194,DB15269,Drug,CHEMBL3670800
13195,DB15270,Drug,
13196,DB15271,"B06AX01,B06AX,B06A,B06,B,Drug",
13197,DB15272,Drug,
13198,DB15273,Drug,CHEMBL3040440
13199,DB15274,Drug,
13200,DB15275,Drug,
13201,DB15276,Drug,
13202,DB15277,Drug,
13203,DB15278,Drug,
13204,DB15279,Drug,CHEMBL1420319
13205,DB15280,Drug,
13206,DB15281,Drug,CHEMBL3544964
13207,DB15282,Drug,
13208,DB15283,Drug,
13209,DB15284,Drug,CHEMBL1908305
13210,DB15285,Drug,
13211,DB15286,Drug,
13212,DB15287,Drug,CHEMBL3682589
13213,DB15288,Drug,CHEMBL1196088
13214,DB15289,Drug,CHEMBL236687
13215,DB15290,"L03AA17,L03AA,L03A,L03,L,Drug",
13216,DB15291,Drug,CHEMBL3900554
13217,DB15292,Drug,CHEMBL4089083
13218,DB15293,Drug,CHEMBL56337
13219,DB15294,Drug,CHEMBL2035185
13220,DB15295,Drug,CHEMBL4297584
13221,DB15296,Drug,
13222,DB15297,Drug,CHEMBL4297638
13223,DB15298,Drug,
13224,DB15299,Drug,CHEMBL3125702
13225,DB15300,"C01BA13,C01BA,C01B,C01,C,Drug",CHEMBL531472
13226,DB15301,Drug,
13227,DB15302,Drug,
13228,DB15303,Drug,
13229,DB15304,Drug,
13230,DB15305,"M09AX10,M09AX,M09A,M09,M,Drug",CHEMBL4297528
13231,DB15306,Drug,
13232,DB15307,Drug,CHEMBL3916243
13233,DB15308,Drug,CHEMBL3753858
13234,DB15310,Drug,CHEMBL3260567
13235,DB15311,Drug,
13236,DB15312,Drug,
13237,DB15313,Drug,
13238,DB15314,Drug,
13239,DB15315,"J05AP12,J05AP,J05A,J05,J,Drug",
13240,DB15316,Drug,CHEMBL3185236
13241,DB15317,Drug,
13242,DB15318,Drug,
13243,DB15319,Drug,
13244,DB15321,Drug,
13245,DB15322,Drug,
13246,DB15323,Drug,CHEMBL1650443
13247,DB15324,Drug,
13248,DB15325,Drug,CHEMBL3912251
13249,DB15326,Drug,
13250,DB15327,Drug,CHEMBL4297865
13251,DB15328,"N02CD04,N02CD,N02C,N02,N,Drug",CHEMBL2364638
13252,DB15329,Drug,
13253,DB15330,Drug,
13254,DB15331,Drug,
13255,DB15332,Drug,
13256,DB15333,Drug,
13257,DB15334,Drug,CHEMBL131921
13258,DB15335,Drug,CHEMBL242341
13259,DB15336,Drug,
13260,DB15338,Drug,
13261,DB15339,Drug,CHEMBL4070364
13262,DB15340,Drug,
13263,DB15341,Drug,CHEMBL1823241
13264,DB15342,Drug,
13265,DB15343,Drug,
13266,DB15344,Drug,
13267,DB15345,Drug,CHEMBL3793226
13268,DB15346,Drug,CHEMBL3716365
13269,DB15347,Drug,
13270,DB15348,Drug,
13271,DB15349,Drug,
13272,DB15350,Drug,CHEMBL3976780
13273,DB15351,Drug,
13274,DB15352,Drug,
13275,DB15353,Drug,CHEMBL3989959
13276,DB15354,"C10AX17,C10AX,C10A,C10,C,Drug",
13277,DB15355,Drug,
13278,DB15356,Drug,
13279,DB15357,Drug,CHEMBL21536
13280,DB15358,Drug,CHEMBL4079239
13281,DB15359,Drug,CHEMBL253896
13282,DB15360,Drug,CHEMBL2311157
13283,DB15361,Drug,
13284,DB15362,Drug,CHEMBL4076124
13285,DB15363,Drug,
13286,DB15365,Drug,
13287,DB15366,Drug,
13288,DB15367,Drug,CHEMBL4088896
13289,DB15368,Drug,
13290,DB15369,Drug,
13291,DB15370,Drug,
13292,DB15371,Drug,
13293,DB15372,Drug,
13294,DB15373,Drug,
13295,DB15374,Drug,
13296,DB15375,Drug,
13297,DB15376,Drug,
13298,DB15377,Drug,
13299,DB15378,Drug,
13300,DB15379,Drug,
13301,DB15380,Drug,CHEMBL1944785
13302,DB15381,Drug,
13303,DB15382,Drug,
13304,DB15383,Drug,
13305,DB15384,Drug,CHEMBL2107372
13306,DB15385,Drug,
13307,DB15386,Drug,
13308,DB15387,Drug,
13309,DB15388,Drug,
13310,DB15389,Drug,
13311,DB15390,Drug,
13312,DB15391,Drug,
13313,DB15392,Drug,
13314,DB15393,Drug,CHEMBL2079588
13315,DB15394,Drug,CHEMBL2151591
13316,DB15395,Drug,
13317,DB15396,Drug,CHEMBL4297478
13318,DB15397,Drug,
13319,DB15398,Drug,
13320,DB15399,Drug,CHEMBL575448
13321,DB15400,Drug,
13322,DB15401,Drug,
13323,DB15402,Drug,
13324,DB15403,Drug,CHEMBL3828074
13325,DB15404,Drug,
13326,DB15405,Drug,CHEMBL477278
13327,DB15406,Drug,CHEMBL3353541
13328,DB15407,Drug,
13329,DB15408,Drug,CHEMBL1230165
13330,DB15409,Drug,
13331,DB15410,Drug,CHEMBL1322675
13332,DB15411,Drug,
13333,DB15412,Drug,
13334,DB15413,Drug,CHEMBL4297412
13335,DB15414,Drug,
13336,DB15415,Drug,
13337,DB15416,Drug,CHEMBL3822773
13338,DB15417,Drug,
13339,DB15418,Drug,CHEMBL3916929
13340,DB15419,Drug,CHEMBL1801250
13341,DB15420,Drug,
13342,DB15421,Drug,
13343,DB15422,Drug,
13344,DB15423,Drug,
13345,DB15424,Drug,CHEMBL2181666
13346,DB15425,Drug,CHEMBL3655762
13347,DB15426,Drug,CHEMBL2104969
13348,DB15427,Drug,CHEMBL271475
13349,DB15428,Drug,
13350,DB15429,Drug,CHEMBL116455
13351,DB15430,Drug,
13352,DB15431,Drug,
13353,DB15432,Drug,
13354,DB15433,Drug,
13355,DB15434,Drug,
13356,DB15435,Drug,
13357,DB15436,Drug,
13358,DB15437,Drug,
13359,DB15438,Drug,
13360,DB15439,Drug,CHEMBL3989951
13361,DB15440,Drug,
13362,DB15441,Drug,
13363,DB15442,"V03AF12,V03AF,V03A,V03,V,Drug",CHEMBL3894860
13364,DB15443,Drug,
13365,DB15444,"R07AX32,R07AX,R07A,R07,R,Drug",CHEMBL4298128
13366,DB15445,Drug,CHEMBL1681
13367,DB15446,Drug,CHEMBL197194
13368,DB15447,Drug,
13369,DB15448,Drug,
13370,DB15449,Drug,CHEMBL3693786
13371,DB15450,Drug,CHEMBL3577885
13372,DB15451,Drug,
13373,DB15452,Drug,
13374,DB15453,Drug,
13375,DB15455,Drug,
13376,DB15456,"C01DX22,C01DX,C01D,C01,C,Drug",CHEMBL4066936
13377,DB15457,Drug,CHEMBL1774645
13378,DB15458,Drug,CHEMBL292439
13379,DB15460,Drug,
13380,DB15461,Drug,
13381,DB15462,Drug,
13382,DB15463,"L01XX74,L01XX,L01X,L01,L,Drug",CHEMBL4585668
13383,DB15464,Drug,CHEMBL1836264
13384,DB15465,Drug,CHEMBL3137321
13385,DB15466,Drug,CHEMBL89705
