node	type
UMLS:C0020672	disease
UMLS:C4012212	disease
UMLS:C4016053	disease
UMLS:C2673535	disease
UMLS:C0031117	disease
UMLS:C1839928	disease
UMLS:C0021390	disease
UMLS:C0220998	disease
UMLS:C0080178	disease
UMLS:C1834523	disease
UMLS:C0011884	disease
UMLS:C2584774	disease
UMLS:C0432198	disease
UMLS:C1837014	disease
UMLS:C0020564	disease
UMLS:C0265220	disease
UMLS:C0010495	disease
UMLS:C4012146	disease
UMLS:C0153463	disease
UMLS:C1843496	disease
UMLS:C0158449	disease
UMLS:C0221217	disease
UMLS:C2931686	disease
UMLS:C0426428	disease
UMLS:C3150208	disease
UMLS:C2677770	disease
UMLS:C0029513	disease
UMLS:C0005683	disease
UMLS:C4693531	disease
UMLS:C1136210	disease
UMLS:C1853863	disease
UMLS:C4510864	disease
UMLS:C0600519	disease
UMLS:C5193056	disease
UMLS:C0020517	disease
UMLS:C0019243	disease
UMLS:C0018991	disease
UMLS:C4016717	disease
UMLS:C2875058	disease
UMLS:C5680513	disease
UMLS:C0344432	disease
UMLS:C0020619	disease
UMLS:C0948216	disease
UMLS:C0409495	disease
UMLS:C3711384	disease
UMLS:C0006261	disease
UMLS:C2711630	disease
UMLS:C0270850	disease
UMLS:C0026987	disease
UMLS:C0010035	disease
UMLS:C0856747	disease
UMLS:C0477983	disease
UMLS:C1832388	disease
UMLS:C4551675	disease
UMLS:C1176475	disease
UMLS:C5686324	disease
UMLS:C2931345	disease
UMLS:C0153492	disease
UMLS:C0031762	disease
UMLS:C0242788	disease
UMLS:C5193057	disease
UMLS:C5680922	disease
UMLS:C1858656	disease
UMLS:C0028840	disease
UMLS:C0007820	disease
UMLS:C5190597	disease
UMLS:C0024115	disease
UMLS:C4305240	disease
UMLS:C0268194	disease
UMLS:C0152031	disease
UMLS:C0432326	disease
UMLS:C1847614	disease
UMLS:C1867971	disease
UMLS:C1970848	disease
UMLS:C1720824	disease
UMLS:C0154088	disease
UMLS:C0005910	disease
UMLS:C0029422	disease
UMLS:C0149630	disease
UMLS:C0235833	disease
UMLS:C1141890	disease
UMLS:C1720860	disease
UMLS:C0004930	disease
UMLS:C2751321	disease
UMLS:C0032460	disease
UMLS:C0005587	disease
UMLS:C1866558	disease
UMLS:C5561981	disease
UMLS:C5548209	disease
UMLS:C0221357	disease
UMLS:C5394553	disease
UMLS:C0178417	disease
UMLS:C0348371	disease
UMLS:C0220701	disease
UMLS:C2697932	disease
UMLS:C5676982	disease
UMLS:C0006012	disease
